Datetime;W;W
07/04/2019 07:00;3319;3526
07/04/2019 08:00;2655;5512
07/04/2019 09:00;10498;11512
07/04/2019 10:00;7808;9170
07/04/2019 11:00;9006;10485
07/04/2019 12:00;12366;13690
07/04/2019 13:00;13193;16829
07/04/2019 14:00;13081;10536
07/04/2019 15:00;9507;5488
07/04/2019 16:00;2970;4586
07/04/2019 17:00;3270;2787
07/04/2019 18:00;2708;3036
07/04/2019 19:00;2942;3688
07/04/2019 20:00;3358;2907
07/04/2019 21:00;2368;2478
07/04/2019 22:00;2491;2460
07/04/2019 23:00;5227;8150
08/04/2019 00:00;6320;3568
08/04/2019 01:00;2347;2312
08/04/2019 02:00;2121;2010
08/04/2019 03:00;2196;3097
08/04/2019 04:00;2975;2097
08/04/2019 05:00;2270;2231
08/04/2019 06:00;2233;2252
08/04/2019 07:00;2574;2325
08/04/2019 08:00;5956;9181
08/04/2019 09:00;9297;9189
08/04/2019 10:00;12438;8566
08/04/2019 11:00;16091;13081
08/04/2019 12:00;13570;12228
08/04/2019 13:00;13121;12357
08/04/2019 14:00;12782;10516
08/04/2019 15:00;7804;8336
08/04/2019 16:00;7454;6221
08/04/2019 17:00;5350;5251
08/04/2019 18:00;5772;4492
08/04/2019 19:00;4724;4043
08/04/2019 20:00;3220;3139
08/04/2019 21:00;3662;5352
08/04/2019 22:00;3656;3172
08/04/2019 23:00;2791;5383
09/04/2019 00:00;4967;4437
09/04/2019 01:00;4315;2336
09/04/2019 02:00;2263;2320
09/04/2019 03:00;2303;2719
09/04/2019 04:00;2992;2458
09/04/2019 05:00;2279;2139
09/04/2019 06:00;2397;2049
09/04/2019 07:00;2434;2171
09/04/2019 08:00;9220;13756
09/04/2019 09:00;7841;6994
09/04/2019 10:00;8285;12589
09/04/2019 11:00;9934;13257
09/04/2019 12:00;11488;14936
09/04/2019 13:00;14918;11827
09/04/2019 14:00;11221;9014
09/04/2019 15:00;7086;6696
09/04/2019 16:00;4371;4396
09/04/2019 17:00;3209;3934
09/04/2019 18:00;3310;3448
09/04/2019 19:00;3879;3590
09/04/2019 20:00;2946;2524
09/04/2019 21:00;2622;3030
09/04/2019 22:00;3172;3428
09/04/2019 23:00;3402;5659
10/04/2019 00:00;5002;5586
10/04/2019 01:00;5199;4980
10/04/2019 02:00;5418;3956
10/04/2019 03:00;3623;4755
10/04/2019 04:00;3329;2605
10/04/2019 05:00;4417;3196
10/04/2019 06:00;4295;7802
10/04/2019 07:00;6908;4448
10/04/2019 08:00;2706;3474
10/04/2019 09:00;12201;11100
10/04/2019 10:00;13187;11394
10/04/2019 11:00;10897;12683
10/04/2019 12:00;13180;16107
10/04/2019 13:00;15006;14671
10/04/2019 14:00;9671;6145
10/04/2019 15:00;7029;4991
10/04/2019 16:00;3540;2984
10/04/2019 17:00;2808;3207
10/04/2019 18:00;2412;3581
10/04/2019 19:00;3658;2471
10/04/2019 20:00;2767;3730
10/04/2019 21:00;4825;2548
10/04/2019 22:00;3802;4630
10/04/2019 23:00;2460;4772
